,Engine Capacity (liters),Cylinders,Drive Type,Fuel Tank Capacity (liters),Fuel Economy (L/100 Km),Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Top Speed (Km/h),Seating Capacity,Acceleration 0-100 Km/h (sec),Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),name,price,currency
0,1.2,3,Front Wheel Drive,42,4.9,Petrol,76,100,Automatic,170,5 Seater,14.0,4.245,1.670,1.515,2.550,450,Mitsubishi Attrage 2021 1.2 GLX (Base),"34,099",SAR
1,1.2,3,Front Wheel Drive,42,4.9,Petrol,76,100,Automatic,170,5 Seater,14.0,4.245,1.670,1.515,2.550,450,Mitsubishi Attrage 2021 1.2 GLX (Base),"34,099",SAR
2,1.4,4,Front Wheel Drive,45,6.3,Petrol,75,118,Manual,156,2 Seater,16.0,3.864,1.716,1.721,2.513,2800,Fiat Fiorino 2021 1.4L Standard,"41,250",SAR
3,1.6,4,Front Wheel Drive,50,6.4,Petrol,102,145,Automatic,180,5 Seater,11.0,4.354,1.994,1.529,2.635,510,Renault Symbol 2021 1.6L PE,"44,930",SAR
4,1.5,4,Front Wheel Drive,48,5.8,Petrol,112,150,Automatic,170,5 Seater,10.9,4.314,1.809,1.624,2.585,448,MG ZS 2021 1.5L STD,"57,787",SAR
5,1.4,4,Front Wheel Drive,35,5.1,Petrol,98,127,Automatic,170,5 Seater,12.0,3.636,1.597,1.483,2.385,314,Chevrolet Spark 2021 1.4L LS,"53,790",SAR
6,1.6,4,Front Wheel Drive,50,6.4,Petrol,102,145,Automatic,180,5 Seater,11.0,4.354,1.994,1.529,2.635,510,Renault Symbol 2021 1.6L LE,"54,780",SAR
7,1.4,4,Front Wheel Drive,45,6.3,Petrol,100,132,Automatic,183,5 Seater,13.4,4.440,1.729,1.475,2.600,396,Hyundai Accent 2021 1.4L Base,"53,460",SAR
8,1.4,4,Front Wheel Drive,45,6.3,Petrol,100,132,Automatic,183,5 Seater,13.4,4.440,1.729,1.475,2.600,396,Hyundai Accent 2021 1.4L Mid,"55,000",SAR
9,1.5,4,Front Wheel Drive,48,5.8,Petrol,112,150,Automatic,170,5 Seater,10.9,4.314,1.809,1.624,2.585,448,MG ZS 2021 1.5L COM,"61,237",SAR
10,1.3,4,Front Wheel Drive,42,5.3,Petrol,98,125,Manual,165,5 Seater,11.7,4.425,1.730,1.475,2.500,Null,Toyota Yaris Sedan 2021 1.3L STD (M/T),"52,258",SAR
11,1.6,4,Front Wheel Drive,45,6.4,Petrol,123,151,Automatic,193,5 Seater,11.3,4.440,1.729,1.475,2.600,396,Hyundai Accent 2021 1.6L Base,"53,350",SAR
12,1.4,4,Front Wheel Drive,35,5.1,Petrol,98,127,Automatic,170,5 Seater,12.0,3.636,1.597,1.483,2.385,314,Chevrolet Spark 2021 1.4L LT,"64,900",SAR
13,1.8,4,Front Wheel Drive,60,7.4,Petrol,130,170,Automatic,185,5 Seater,10.3,4.440,1.833,1.560,2.700,330,Geely GS Sport 2021 1.8L Elegance (Full Option),"54,340",SAR
14,1.5,4,Front Wheel Drive,42,5.1,Petrol,105,140,CVT,175,5 Seater,11.0,4.425,1.730,1.475,2.500,Null,Toyota Yaris Sedan 2021 1.5L Y (CVT),"57,039",SAR
15,1.5,4,Front Wheel Drive,42,5.1,Petrol,105,140,CVT,175,5 Seater,11.0,4.425,1.730,1.475,2.500,Null,Toyota Yaris Sedan 2021 1.5L Y Plus (CVT) ,"59,089",SAR
16,1.5,4,Front Wheel Drive,42,5.1,Petrol,105,140,CVT,175,5 Seater,11.0,4.425,1.730,1.475,2.500,Null,Toyota Yaris Sedan 2021 1.5L Y Plus (CVT) ,"59,089",SAR
17,1.2,4,Front Wheel Drive,35,6.0,Petrol,84,122,Automatic,161,5 Seater,13.7,3.595,1.595,1.495,2.400,255,Kia Picanto 2021 1.2L Base,"42,620",SAR
